word, total-reached, POS, num-definitions-considered
unrewarded, 2965, n, 1
counterterrorism, 2971, n, 1
vagile, 2964, n, 1
saintliness, 2964, n, 1
fox, 2976, n, 1
southwesterly, 2972, n, 1
thalassemia, 2970, n, 1
railbird, 2967, n, 1
cumulative_preferred, 2964, n, 1
go, 2966, n, 1
Aster_cordifolius, 2965, n, 1
superimposed, 2964, n, 1
egg_laying, 2964, n, 1
Masonry, 2984, n, 1
cognisable, 1, n, 1
literalness, 2968, n, 1
genus_Vaccinium, 2966, n, 1
brain, 2964, n, 1
genus_Carissa, 2966, n, 1
Tantrism, 2996, n, 1
lavatory, 2964, n, 1
digital_scanner, 2966, n, 1
portion, 2964, n, 1
Birmingham, 2964, n, 1
Diego_Rodriguez_de_Silva_y_Velazquez, 2966, n, 1
genus_Genista, 2969, n, 1
sustentation, 2965, n, 1
Nguni, 2964, n, 1
injuriousness, 2965, n, 1
cockatiel, 2967, n, 1
Kingdom_of_Bhutan, 2978, n, 1
Macadamia_integrifolia, 2964, n, 1
cubeb_cigarette, 2969, n, 1
Megaptera_novaeangliae, 2967, n, 1
rubidium-strontium_dating, 3005, n, 1
Immaculate_Conception, 2964, n, 1
Prunus_cerasifera, 2965, n, 1
roll_over, 2965, n, 1
upstage, 2968, n, 1
genus_Dermochelys, 2967, n, 1
cervical_disc_syndrome, 3050, n, 1
Ate, 2969, n, 1
ibolium_privet, 2971, n, 1
Adzhar, 2964, n, 1
stud, 2966, n, 1
bus_company, 2966, n, 1
blue_mold_fungus, 2966, n, 1
Great_Salt_Lake, 2970, n, 1
gasoline_pump, 2972, n, 1
Luke, 2963, n, 1
Second_Epistle_to_Timothy, 2970, n, 1
grey_polypody, 2966, n, 1
Cephalaspida, 2964, n, 1
Jules_Feifer, 2966, n, 1
spider_orchid, 2970, n, 1
dusty, 2969, n, 1
discipleship, 2965, n, 1
belief, 2963, n, 1
inelegantly, 2966, n, 1
fostered, 2964, n, 1
dawn, 2965, n, 1
African-American, 2966, n, 1
extraction, 2963, n, 1
purchase, 2965, n, 1
troupe, 2964, n, 1
Mayan_language, 2983, n, 1
Alost, 2964, n, 1
disappointingly, 2964, n, 1
Hans_Zinsser, 2975, n, 1
basil_balm, 2968, n, 1
dark-skinned, 2965, n, 1
order_Piperales, 2978, n, 1
boreal, 2964, n, 1
nephritis, 2966, n, 1
summercaters, 2966, n, 1
Osaka, 2970, n, 1
immature, 2964, n, 1
suborder_Manteodea, 2966, n, 1
rejuvenation, 2966, n, 1
southeastern, 2972, n, 1
Alepisaurus, 1, n, 1
shut_away, 2964, n, 1
one-millionth, 2964, n, 1
auxiliary, 2965, n, 1
Gainsborough, 2973, n, 1
brickbat, 2978, n, 1
shoulder_girdle, 2965, n, 1
agency, 2964, n, 1
Eysenck, 2970, n, 1
orient, 2966, n, 1
get_a_whiff, 2964, n, 1
genus_Lycium, 2967, n, 1
game_fowl, 2968, n, 1
shift, 2965, n, 1
founding, 2964, n, 1
ku-chiku, 2967, n, 1
sitar, 2971, n, 1
order_Plectognathi, 2964, n, 1
parking_space, 2965, n, 1
roundabout_way, 2965, n, 1
Walloon, 2964, n, 1
a_la_mode, 2965, n, 1
branchiopod, 2976, n, 1
molucca_balm, 2972, n, 1
buckle, 2975, n, 1
non-involvement, 2964, n, 1
bassist, 2976, n, 1
Thracian, 2971, n, 1
fairly, 2964, n, 1
rudderstock, 2968, n, 1
Tennessee_walking_horse, 2965, n, 1
softness, 2964, n, 1
unconditional, 1, n, 1
amoeba-like, 2971, n, 1
feeling, 1, n, 1
McKinley, 2967, n, 1
half_mask, 2968, n, 1
Richea_dracophylla, 2971, n, 1
rectilineal, 2964, n, 1
Mays, 2964, n, 1
petiole, 2965, n, 1
ohmmeter, 2965, n, 1
Virginia_pine, 2966, n, 1
errant, 2964, n, 1
tangent_plane, 2965, n, 1
titter, 2966, n, 1
subeditor, 2966, n, 1
cotton_wool, 2964, n, 1
magdalen, 2965, n, 1
reposeful, 2967, n, 1
incline, 2965, n, 1
political_arena, 2964, n, 1
agitated, 1, n, 1
cryptic_coloration, 2964, n, 1
gismo, 2964, n, 1
enigma, 2964, n, 1
intertwine, 2968, n, 1
Wabash_River, 2974, n, 1
spice_up, 2964, n, 1
unconstipated, 1, n, 1
reformation, 2964, n, 1
deplorably, 2964, n, 1
set_shot, 2964, n, 1
not_delayed, 2964, n, 1
misplay, 2965, n, 1
Rain-in-the-Face, 2977, n, 1
dip, 2967, n, 1
crock, 2966, n, 1
Saint_Anthony's_fire, 2964, n, 1
range, 2964, n, 1
Pteris_serrulata, 2980, n, 1
rank_and_file, 2964, n, 1
cell_phone, 2967, n, 1
cerebromeningitis, 2964, n, 1
vocational, 2965, n, 1
model, 2968, n, 1
burn_mark, 2964, n, 1
golden_honey_plant, 2964, n, 1
genus_Mephitis, 2965, n, 1
interferon, 2966, n, 1
genus_Poncirus, 2964, n, 1
forbear, 2965, n, 1
temporary, 2964, n, 1
Niagara, 2978, n, 1
Indira_Gandhi, 2969, n, 1
fissiparous, 2964, n, 1
stoop, 2966, n, 1
aminopherase, 2965, n, 1
erupt, 2964, n, 1
Ebola_hemorrhagic_fever, 2969, n, 1
stump, 2965, n, 1
tribromoethyl_alcohol, 2964, n, 1
Winston_S._Churchill, 2988, n, 1
bench, 2964, n, 1
accelerate, 2964, n, 1
strike, 2968, n, 1
Theodore_Francis_Powys, 2964, n, 1
better_off, 2964, n, 1
divine, 2965, n, 1
buck_sergeant, 2967, n, 1
negative, 2981, n, 1
individualized, 2964, n, 1
inculcate, 2968, n, 1
faith_healing, 2975, n, 1
Yerevan, 2967, n, 1
violent, 2964, n, 1
Rhinoceros_unicornis, 2969, n, 1
fishy, 2964, n, 1
ploughman's_lunch, 2970, n, 1
masker, 2966, n, 1
underside, 2963, n, 1
repossess, 2965, n, 1
Crookes, 2980, n, 1
tough, 2966, n, 1
duckbill, 2977, n, 1
leghorn, 2969, n, 1
orange_milkwort, 2976, n, 1
pick, 2965, n, 1
supplemental, 2964, n, 1
houseman, 2965, n, 1
unfastened, 1, n, 1
out_of_action, 1, n, 1
fleetly, 2965, n, 1
Antwerp, 2976, n, 1
hedgehog_cactus, 2982, n, 1
purple_fringeless_orchid, 2968, n, 1
Ozonium, 2965, n, 1
wheat_germ, 2969, n, 1
goon, 2965, n, 1
miltomate, 2965, n, 1
hydrocortisone, 2968, n, 1
extinction, 2964, n, 1
ready_and_waiting, 2965, n, 1
siren, 2977, n, 1
concealment, 2964, n, 1
Brasilia, 2975, n, 1
Equus_asinus, 2965, n, 1
humorous, 2964, n, 1
Calliphora_vicina, 2968, n, 1
deer_mouse, 2964, n, 1
tomato_ketchup, 2964, n, 1
walker, 2966, n, 1
Berne, 2964, n, 1
hedgefund, 2968, n, 1
hydrocarbon, 2964, n, 1
stubborn, 2966, n, 1
woman, 2963, n, 1
tabulation, 2964, n, 1
Marconi_rig, 2970, n, 1
symmetrical, 2964, n, 1
body, 2964, n, 1
vaporizable, 1, n, 1
leatherjacket, 2965, n, 1
portion, 2964, n, 1
clove_tree, 2976, n, 1
Betelgeuse, 3017, n, 1
Hypericum_calycinum, 2968, n, 1
medicate, 2964, n, 1
secularized, 2967, n, 1
hole, 2964, n, 1
Circassian_walnut, 2967, n, 1
Roger_de_Mortimer, 2979, n, 1
Doctor_of_Divinity, 2966, n, 1
subdivision, 2963, n, 1
decalcify, 2964, n, 1
pressure_feed, 2966, n, 1
devious, 2964, n, 1
centrifugation, 2965, n, 1
liveried, 2967, n, 1
bonito, 2972, n, 1
Van_Dyck, 2967, n, 1
pledged, 2967, n, 1
Shenandoah_River, 2971, n, 1
grind, 2966, n, 1
aluminous, 2973, n, 1
cross, 2965, n, 1
Yalta, 2977, n, 1
St._John_River, 2974, n, 1
daikon, 2966, n, 1
photoelectrically, 2964, n, 1
genus_Carcharias, 2964, n, 1
seashore_mallow, 2966, n, 1
insurance_firm, 2976, n, 1
martyr, 2965, n, 1
moral, 2965, n, 1
silver-tongued, 1, n, 1
draught, 2968, n, 1
idolatry, 2970, n, 1
prairie_willow, 2966, n, 1
centering, 2965, n, 1
black_Hollander, 2969, n, 1
calando, 2966, n, 1
roofy, 2983, n, 1
good_weather, 2964, n, 1
Tannenberg, 2964, n, 1
glumness, 2966, n, 1
Alost, 2964, n, 1
elaborateness, 2964, n, 1
injure, 2964, n, 1
reinsure, 2976, n, 1
credulousness, 2964, n, 1
desert, 2969, n, 1
Heinrich_Hertz, 2964, n, 1
treachery, 2966, n, 1
station, 2964, n, 1
solid, 2964, n, 1
yellow, 2970, n, 1
Huckleberry_Finn, 2966, n, 1
robin_redbreast, 2967, n, 1
processor, 2964, n, 1
liver-colored, 2964, n, 1
obstreperous, 1, n, 1
hop_up, 2964, n, 1
glumness, 2966, n, 1
tug, 2965, n, 1
donjon, 2974, n, 1
Proterozoic_eon, 2965, n, 1
type, 2974, n, 1
looker, 2966, n, 1
poltroonery, 2966, n, 1
fifth_wheel, 2964, n, 1
spur, 2966, n, 1
centre_stage, 2965, n, 1
mollification, 2964, n, 1
hatchling, 2964, n, 1
granularity, 2964, n, 1
Iris_versicolor, 2965, n, 1
East_Indian_fig_tree, 2968, n, 1
punk, 2966, n, 1
round-headed_leek, 3034, n, 1
Acer_platanoides, 2978, n, 1
back_off, 2964, n, 1
seedman, 2966, n, 1
antiseptic, 2965, n, 1
incurvate, 2967, n, 1
humanistic, 2965, n, 1
waste_of_money, 2964, n, 1
foxglove_family, 3112, n, 1
leresis, 2965, n, 1
Labiatae, 2977, n, 1
gang-rape, 2966, n, 1
spoliation, 2965, n, 1
shot_metal, 2969, n, 1
Clovis, 2966, n, 1
crown_princess, 2964, n, 1
American_merganser, 2967, n, 1
Gnetophytina, 2964, n, 1
populace, 2964, n, 1
steerer, 2964, n, 1
William_Claude_Dukenfield, 2964, n, 1
phonology, 2963, n, 1
high_school, 2967, n, 1
sprawl, 2967, n, 1
flugelhorn, 2971, n, 1
Orudis, 2970, n, 1
battle_of_Brunanburh, 2970, n, 1
condemn, 2964, n, 1
heterogeneous, 2964, n, 1
Loiseleuria_procumbens, 2967, n, 1
book_lover, 2964, n, 1
Brueghel, 2967, n, 1
yard, 2963, n, 1
varied, 2964, n, 1
canvass, 2965, n, 1
hefty, 2964, n, 1
dedication, 2967, n, 1
frictional, 2964, n, 1
Shinto, 2971, n, 1
delicacy, 2964, n, 1
comb, 2965, n, 1
enticement, 2964, n, 1
innervation, 2965, n, 1
fine-tune, 2969, n, 1
Honore_Balzac, 2966, n, 1
chlorophyll_c, 2965, n, 1
Tom_Paine, 2971, n, 1
swap_space, 2965, n, 1
family_Cerambycidae, 1, n, 1
capital_of_South_Korea, 2969, n, 1
Evenki, 2966, n, 1
genus_Merlangus, 1, n, 1
treillage, 2970, n, 1
C_horizon, 2969, n, 1
curtal, 2964, n, 1
discalceate, 2964, n, 1
belladonna, 2986, n, 1
